Month,CAD_10Y,UK_10Y,US_10Y,CAD_UK_spread,US_UK_spread,CAD_US_spread
2018-03,2.1885714285714286,1.820650857,2.865,-0.36792057157142866,1.0443491430000003,0.6764285714285716
2018-04,2.2490476190476194,1.831827,2.76,-0.4172206190476193,0.9281729999999997,0.5109523809523804
2018-05,2.3754545454545455,1.842320381,2.957,-0.5331341644545455,1.114679619,0.5815454545454544
2018-06,2.209047619047619,1.779173524,2.859,-0.429874095047619,1.079826476,0.6499523809523811
2018-07,2.1871428571428573,1.719941682,2.86,-0.4672011751428573,1.140058318,0.6728571428571426
2018-08,2.2954545454545454,1.753297227,2.955,-0.5421573184545454,1.201702773,0.6595454545454547
2018-09,2.353684210526316,1.8744787,2.863,-0.47920551052631577,0.9885212999999999,0.5093157894736842
2018-10,2.4886363636363638,1.944757217,3.072,-0.5438791466363637,1.127242783,0.5833636363636363
2018-11,2.4076190476190478,1.9530195,3.153,-0.45459954761904786,1.1999805000000001,0.7453809523809523
2018-12,2.057894736842105,1.819755,3.036,-0.2381397368421052,1.216245,0.9781052631578948
2019-01,1.9536363636363634,1.790513727,2.691,-0.1631226366363634,0.9004862729999998,0.7373636363636364
2019-02,1.9073684210526316,1.7162166,2.645,-0.1911518210526315,0.9287833999999999,0.7376315789473684
2019-03,1.7123809523809523,1.648633,2.72,-0.06374795238095232,1.0713670000000002,1.0076190476190479
2019-04,1.7242857142857144,1.6681859,2.427,-0.05609981428571431,0.7588140999999999,0.7027142857142856
2019-05,1.6645454545454543,1.605914381,2.504,-0.05863107354545427,0.898085619,0.8394545454545457
2019-06,1.4625,1.4392191,2.13,-0.023280899999999827,0.6907808999999998,0.6675
2019-07,1.5190909090909093,1.364054739,2.006,-0.1550361700909093,0.6419452609999998,0.4869090909090905
2019-08,1.2052380952380952,1.093406619,2.015,-0.1118314762380952,0.9215933810000001,0.8097619047619049
2019-09,1.364,1.038102571,1.5,-0.32589742900000007,0.46189742899999997,0.1359999999999999
2019-10,1.4495454545454545,1.103358826,1.667,-0.34618662854545446,0.563641174,0.21745454545454557
2019-11,1.4994999999999998,1.25481581,1.689,-0.24468418999999986,0.4341841900000001,0.18950000000000022
2019-12,1.6045000000000003,1.28409445,1.883,-0.32040555000000026,0.59890555,0.27849999999999975
2020-01,1.4922727272727272,1.159874545,1.92,-0.3323981822727271,0.7601254549999998,0.42772727272727273
2020-02,1.2947368421052632,1.0477506,1.509,-0.2469862421052631,0.4612493999999998,0.2142631578947367
2020-03,0.8190909090909091,0.850021864,1.156,0.030930954909090924,0.3059781359999999,0.3369090909090908
2020-04,0.6571428571428571,0.6895403,0.677,0.032397442857142855,-0.012540299999999949,0.019857142857142907
2020-05,0.5509999999999999,0.596198895,0.644,0.04519889500000007,0.04780110500000001,0.09300000000000008
2020-06,0.5613636363636364,0.659218045,0.659,0.09785440863636363,-0.00021804500000000004,0.09763636363636363
2020-07,0.5163636363636364,0.641585,0.655,0.1252213636363636,0.013415000000000066,0.13863636363636367
2020-08,0.5635,0.76159775,0.535,0.19809774999999996,-0.22659774999999993,-0.02849999999999997
2020-09,0.5595238095238095,0.771977273,0.706,0.21245346347619043,-0.065977273,0.14647619047619043
2020-10,0.6028571428571429,0.805914955,0.684,0.20305781214285712,-0.12191495499999994,0.08114285714285718
2020-11,0.6885,0.889436095,0.879,0.20093609499999998,-0.010436094999999979,0.1905
2020-12,0.7309523809523809,0.812770381,0.845,0.08181800004761908,0.03222961899999999,0.11404761904761906
