date,high,low,open,close,volume,quoteVolume,weightedAverage
2021-05-15,50645.97,46590.37,49869.71,46788.14,1574.57898585,75972485.77102716,48249.39647598
2021-05-16,49779.97,43867.29,46778.19,46395.31,1766.62014123,83046944.39750078,47008.94236362
2021-05-17,46600.0,42142.85,46418.76,43533.07,2217.15266703,97679980.93855394,44056.49750289
2021-05-18,45761.78,42280.43,43552.8,42861.82,1439.52918445,63110844.67914804,43841.30961767
2021-05-19,43548.0,30010.0,42833.31,36645.54,6695.37617139,254215475.47293183,37968.81145516
2021-05-20,42382.52,34911.95,36672.94,40475.04,3165.46663379,124856318.41039883,39443.25840544
2021-05-21,42200.0,33504.82,40536.57,37263.87,2992.72004516,113586754.94327201,37954.35364125
2021-05-22,38808.26,35207.7,37250.55,37448.7,1285.59000318,47949088.13602737,37297.34053424
2021-05-23,38263.39,31143.32,37462.51,34643.06,4360.58259953,146898180.97230545,33687.74186003
2021-05-24,39903.97,34391.33,34655.78,38795.91,1744.66501763,64966110.22741694,37237.01087081
2021-05-25,39778.23,36443.0,38795.91,38329.0,1562.30607957,59201276.39382186,37893.51982174
2021-05-26,40841.16,37818.77,38341.57,39233.81,1123.82616381,44123115.08250432,39261.51259276
2021-05-27,40392.53,37152.08,39240.0,38495.73,998.73423385,38767427.49622973,38816.56018417
2021-05-28,38870.12,34725.0,38548.8,35671.78,1786.09573505,65104725.70432374,36450.86006686
2021-05-29,37300.0,33632.3,35660.96,34591.0,939.25815161,32954960.69342181,35086.15883389
2021-05-30,36469.61,33400.0,34598.82,35660.36,869.36298192,30749490.89655471,35370.14059264
2021-05-31,37477.6,34164.16,35642.94,37263.56,993.94338965,35657055.66385989,35874.33251748
2021-06-01,37884.45,35696.69,37261.69,36685.0,781.07494813,28514751.07439692,36507.06138081
2021-06-02,38220.93,35947.4,36685.0,37575.9,650.84330467,24198175.28347666,37179.72530384
2021-06-03,39467.0,37197.4,37572.82,39236.67,858.91354566,33128544.15174754,38570.28954676
2021-06-04,39275.29,35600.0,39238.63,36834.99,1324.37218939,48961251.48943142,36969.40473507
2021-06-05,37910.7,34823.08,36833.15,35509.43,915.73920153,33339028.838566,36406.68520345
2021-06-06,36465.35,35228.85,35509.43,35793.27,564.66126829,20314980.77716987,35977.28747836
2021-06-07,36811.59,33368.94,35793.27,33559.55,1555.03110546,55294048.63921585,35558.16243486
2021-06-08,34055.91,31030.61,33566.41,33383.64,1645.6319386,53727751.35422438,32648.70478871
2021-06-09,37521.75,32408.16,33379.52,37350.0,1968.46382724,68500082.83170797,34798.75112958
2021-06-10,38420.0,35814.1,37375.38,36641.4,1460.14292804,54164858.8600364,37095.58689075
2021-06-11,37670.39,35974.68,36687.93,37308.12,798.98888103,29561895.70521523,36999.13278781
2021-06-12,37455.9,34585.36,37299.84,35523.66,1062.61917251,37835117.24766218,35605.52851525
2021-06-13,39344.0,34768.34,35525.34,39037.79,1070.77920061,39271733.9093826,36675.84679176
2021-06-14,41021.88,38736.11,39017.16,40514.95,940.13686687,37449606.38884793,39834.20681451
2021-06-15,41310.47,39529.41,40515.74,40146.49,669.0020726,26937273.24533362,40264.85768668
2021-06-16,40481.56,38113.01,40146.88,38336.7,853.69625838,33589386.87242578,39345.82885037
2021-06-17,39534.77,37388.88,38353.75,38080.0,706.9867268,27327447.90664121,38653.41012883
2021-06-18,38193.87,35148.32,38101.21,35807.81,731.1155972,26847791.6969289,36721.67821306
2021-06-19,36416.93,34845.76,35807.81,35504.0,602.91045504,21513738.14182726,35683.13994554
2021-06-20,36112.36,33352.06,35486.13,35591.91,799.239725,27796266.99392724,34778.38516338
2021-06-21,35739.42,31253.9,35596.89,31636.94,2401.84895346,78641963.14065921,32742.26009398
2021-06-22,33300.0,28826.53,31613.89,32500.0,3245.17408076,101237421.39733829,31196.29914387
2021-06-23,34825.52,31707.1,32508.12,33658.55,1491.28979571,50338150.65632184,33754.77442488
